class_id,updated_at,skills,location,provided_materials,instructor,learning_objectives,title,cost,description,course_type,id
CLASS_1716,2026-03-30 13:11:55.303000+00:00,"['Weaving', 'Storytelling', 'Design', 'Textile Arts', 'Creativity']",Suffolk,"['Looms of various sizes', 'A vibrant selection of wool and cotton yarns', 'Pattern templates for inspiration', 'Color wheels for creative guidance', 'A storytelling handbook on traditional and modern tales']",Ms. Penelope Patterns,"['Learn basic and advanced weaving techniques to create intricate patterns.', 'Understand the history and cultural significance of storytelling through textiles.', 'Develop skills in selecting and combining fibers for texture and strength.', 'Create personalized stories through symbolic patterns in woven scarves.', 'Enhance creativity and expression through color and design choices.']",Whimsical Weaving: The Art of Storytelling Scarves,85.0,"Unravel the threads of your imagination and weave them into a tapestry of tales at the Whimsical Weaving class, where scarves tell stories and threads hold secrets. Led by the ever-enthusiastic Ms. Penelope Patterns, this delightful course invites participants to transform simple fibers into expressive works of art. Nestled in the serene countryside of Suffolk, the class takes place in a charming studio lined with colorful yarns and storytelling inspirations. Students will begin by learning the fundamental techniques of weaving, progressing from simple patterns to more elaborate designs. As they master the loom, they'll delve into the enchanting world of textile storytelling, exploring how cultures across the globe have used cloth to convey tales through time. Participants will then have the chance to design their own ""story scarves,"" selecting from a kaleidoscope of fibers and hues to create symbolic patterns. Whether it’s a personal journey, a fictional saga, or a tribute to a cherished memory, each scarf becomes a narrative masterpiece. Throughout the course, Ms. Penelope will guide students in applying their newfound skills to bring their visions to life, offering insights into color theory and pattern development. The class promises not just a skill, but a joyful journey into the art of weaving stories with every thread.",Fiber Arts,CLASS_1716 Whimsical Weaving: The Art of Storytelling Scarves
CLASS_1726,2026-03-30 13:11:57.725000+00:00,"['Calligraphy', 'Craftsmanship', 'Historical knowledge', 'Creativity', 'Fine motor skills']",Cotswolds,"['Selection of feathers', 'Ink bottles', 'Parchment paper', 'Quill sharpening tools', 'Historical reference guide on quill usage']",Penelope Plume,"['Master the art of using feathers and ink to create beautiful calligraphy.', 'Understand the history of quill writing in medieval Britain.', 'Develop skills in making your own quill pens from natural materials.', 'Learn techniques for maintaining and sharpening quill pens.', 'Experiment with different styles of decorative lettering.']",Quintessentially Quirky Quill Crafting,75.0,"Step back in time with the School of Dandori's 'Quintessentially Quirky Quill Crafting' course in the serene Cotswolds. Led by Penelope Plume, a passionate historian and master calligrapher, this immersive class invites adults to explore the enchanting world of quill penmanship—a skill rich in tradition and elegance. Participants will delve into the history of quills, uncovering their importance in medieval communications and artistry, before rolling up their sleeves to craft their own unique writing tools. You'll be guided through the process of selecting the perfect feather, learning how to carve it into a stylish quill pen. Discover the secret art of maintaining your quill’s tip for fluid writing and how to experiment with different inks and parchment papers. Through playful and hands-on sessions, you will learn techniques to craft beautiful calligraphy, from classic scripts to whimsical lettering styles. As you dip your quill into vibrant inks, you'll find joy in expressing yourself while appreciating the historical significance of every stroke. This class is perfect for those looking to add a touch of whimsy to their writing repertoire while enjoying the creative satisfaction of bringing history to life. Join us for a delightful journey to the past, where the art of quill crafting becomes a soul-nourishing experience.",Heritage Crafts,CLASS_1726 Quintessentially Quirky Quill Crafting
CLASS_1781,2026-03-30 13:12:02.399000+00:00,"['Creative expression', 'Eco-friendly art', 'Stamp carving', 'Color theory', 'Storytelling']",Brighton,"['A variety of organic potatoes', 'Carving tools for creating stamps', 'Natural dyes and pigments', 'Recycled paper and canvas', 'Aprons']",Professor Spudsworth,"['Explore the art of potato stamping and its historical significance', 'Learn techniques to carve intricate designs into potato stamps', 'Develop skills in composition and color blending using natural pigments', 'Create unique potato stamp artworks that tell personal stories', 'Understand the sustainability and eco-friendly aspects of potato art']",Peculiar Portraits: Painting with Potatoes,75.0,"Join the whimsical world of Peculiar Portraits: Painting with Potatoes, where creativity meets spud-tacular expression! Led by the illustrious Professor Spudsworth, this class invites adults to explore the playful yet profound art of potato stamping. From humble tuber to canvas sensation, learn to transform ordinary potatoes into extraordinary stamps that capture the essence of your imagination. In this engaging class, students will delve into the quirky history of potato stamping, discovering its roots and relevance in contemporary art. Professor Spudsworth will guide participants through the process of carving intricate designs into potatoes, using specially provided tools. With an emphasis on sustainability, you'll work with natural pigments to blend colors and create eco-friendly artworks. Participants will have the chance to experiment with composition techniques, creating personalized potato stamp masterpieces that tell a story unique to each artist. As you stamp away on recycled paper and canvas, you'll learn how texture and color interplay can convey emotion and narrative. Prepare for a day of laughter, creativity, and artistic discovery in Brighton, where the potato reigns supreme as an unconventional tool for joy and expression. Whether you're a seasoned artist or a curious novice, Painting with Potatoes promises a nourishing escape from the mundane, celebrating the joy of creation and the potato's unexpected versatility.",Creative Arts,CLASS_1781 Peculiar Portraits: Painting with Potatoes
CLASS_1824,2026-03-30 13:12:11.617000+00:00,"['Birdwatching', 'Nature Appreciation', 'Conservation', 'Mindfulness', 'Ecology']",Oxford,"['Binoculars', 'Bird identification guide', 'Bird call whistle', 'Bird-friendly seed mix', 'Miniature notebook for observations']",Professor Aviary Skylark,"['Understand basic bird anatomy and flight mechanics', 'Learn to identify common British birds by sight and sound', 'Master basic bird calling techniques', 'Create a safe and inviting garden habitat for birds', 'Practice mindful observation and appreciation of nature']",Feathered Friendship Flight School,75.0,"Join us at the enchanting Feathered Friendship Flight School, where Professor Aviary Skylark will guide you through the delightful world of avian allies. Nestled in the tranquil gardens of Oxford, this whimsical yet educational class invites adults to connect with nature and rediscover the joy found in the flutter of wings. During this three-hour session, students will embark on an avian adventure, starting with an engaging lecture on bird anatomy and the mechanics of flight. Armed with knowledge, binoculars, and a bird identification guide, participants will venture into the lush surroundings, learning to spot and identify common British birds by sight and sound. Professor Skylark, with her captivating expertise in bird-language, will teach students the art of bird calling, using specialized whistles to communicate with feathered friends. Participants will also learn how to create a bird-friendly garden, attracting a variety of species with expert tips and bird-friendly seed mixes. In the spirit of mindful observation, students will practice sitting quietly, honing their patience and deepening their appreciation for the natural world. They will record their discoveries in a charming miniature notebook, fostering a lifelong connection to the beauty and harmony of avian life. Leave the course with a heart full of joy, a mind brimming with knowledge, and perhaps a new feathered friend or two!",Outdoor Skills,CLASS_1824 Feathered Friendship Flight School
CLASS_1855,2026-03-30 13:12:18.211000+00:00,"['Yarn Spinning', 'Fiber Craft', 'Weaving', 'Braiding', 'Folklore Lore']",Durham,"['Spinning wheel for each student', ""Selection of natural and synthetic fibers, including 'unicorn hair'"", 'Tapestry loom', 'Instruction booklet', 'Refreshments (tea, biscuits, and magically themed treats)']",Ms. Augusta Woollymane,"['Learn the art of traditional yarn spinning using a spinning wheel', 'Understand the properties of different fibers, including mythical unicorn hair', 'Create a small woven tapestry with hand-spun yarn', 'Master the technique of unicorn mane braiding', 'Explore the history and folklore of fiber arts in a fun, engaging manner']",Enchanted Yarn Spinning and Unicorn Mane Crafting,75.0,"Join Ms. Augusta Woollymane in this delightful journey into the whimsical world of yarn and mythical creatures. Set in the serene and historic city of Durham, our Enchanted Yarn Spinning and Unicorn Mane Crafting class is a playful yet educational escape from the mundane. Students will begin with the basics of yarn spinning, learning to use traditional spinning wheels to transform raw fibers into beautiful, colorful threads. As the class progresses, students will dive into the fantastical realm of unicorn mane crafting. We will explore the art of braiding these ethereal fibers, rumored to possess extraordinary strength and beauty. Each participant will receive a selection of materials, including a special 'unicorn hair blend', inviting creativity and personal expression. Additionally, students will hand- weave a small tapestry, weaving stories and magic into their fiber creations. Throughout the class, Ms. Woollymane will share captivating tales of fiber arts history and unicorn myths, enriching the experience with folklore and fun. Engage in a unique hands-on learning adventure that combines practical skills with enchanting stories—perfect for anyone seeking a touch of magic in their day-to-day life. This class offers not only an exploration of fiber arts but also an invitation to weave a little joy into your soul.",Fiber Arts,CLASS_1855 Enchanted Yarn Spinning and Unicorn Mane Crafting
CLASS_1893,2026-03-30 13:11:56.841000+00:00,"['Weaving', 'Cultural History', 'Pattern Design', 'Folklore', 'Artisan Crafting']",Scottish Highlands,"['Miniature hand looms', 'Assorted dyed wool', 'Pattern design templates', 'Historical tartan reference booklets', 'A bag of specially sourced Highland heather tea']",Professor Plaid McLoom,"['Learn the basics of traditional tartan weaving techniques.', 'Understand the cultural significance of tartans in Scottish history.', 'Master the art of creating personalized tartan patterns.', 'Discover the magical folklore surrounding the Loch Ness Monster.', 'Develop skills in using traditional hand looms.']",Enchanted Tartan Weaving with Nessie,85.0,"Join Professor Plaid McLoom in the scenic Scottish Highlands for a whimsical journey into the world of tartan weaving, where legends and looms intertwine. During this enchanting day-long class, students will delve into the rich tapestry of Scotland's cultural heritage while learning the ancient art of tartan weaving. Under the watchful guidance of the spirited Professor McLoom, you'll start with the basics of using a traditional hand loom, mastering the rhythmic dance of shuttle and warp. Participants will be guided through the history and lore of tartans, including the mystical tales of the Loch Ness Monster, also known locally as Nessie. With hands- on practice, each student will have the opportunity to create their very own mini tartan design, imbued with personal significance and a touch of Highland magic. The class will also explore tartan patterns' symbolic meanings and how clans once used them to tell stories of lineage and legend. By the end of the day, you'll weave not just threads but a newfound appreciation for Scotland's vibrant history. Plus, enjoy a cup of fragrant Highland heather tea as you relax and admire your handiwork. Embrace your inner Scotsman or Scotswoman in this unique blend of craft and cultural exploration.",Heritage Crafts,CLASS_1893 Enchanted Tartan Weaving with Nessie
CLASS_1919,2026-03-30 13:12:08.853000+00:00,"['Baking', 'Culinary Arts', 'Creativity', 'Cultural History', 'Food Decoration']",Inverness,"['A variety of biscuit cutters', 'High-quality baking sheets', 'Assorted edible glitter and food-safe decorative paints', 'Selection of ingredients: flour, sugar, butter, spices, and chocolate', ""A whimsical recipe booklet titled 'Biscuits for the Bewitched'""]",Mrs. Crumblebottom,"['Understand the history and cultural significance of British biscuits', 'Master the art of biscuit dough from scratch', 'Learn innovative techniques for decorative biscuit design', 'Perfect the balance of flavours in various traditional and modern biscuits', 'Acquire skills in creating edible biscuit tins that add whimsy to tea time']",The Great British Biscuit Bonanza: Enchanted Edible,75.0,"Step into the sugary realm of Mrs. Crumblebottom's kitchen, nestled in the heart of Inverness, where biscuits become magical creations in 'The Great British Biscuit Bonanza: Enchanted Edible Tins'. This whimsical class is designed for adults with a love for baking and a penchant for the peculiar, blending the traditional art of biscuit making with a sprinkle of enchantment. Under the delightful and expert guidance of Mrs. Crumblebottom, participants will journey through the history of British biscuits, understanding their cultural significance while rolling up their sleeves to master the art of crafting perfect biscuit dough. Students will explore innovative techniques to decorate biscuits that not only taste delightful but also tell a story. The highlight of the class is the creation of enchanted edible tins – charming biscuit containers crafted entirely from dough, painted with food-safe decorative paints, and dusted with edible glitter. Imagine serving your afternoon tea biscuits from a tin that is itself a delicious treat! Beyond the baking, students will learn to balance flavours with a deft touch, combining traditional spices with modern tastes to create unique biscuit varieties that enchant the taste buds. By the end of the class, you'll not only leave with a batch of your own whimsically decorated biscuits and a magical edible tin, but also with the skills to add a touch of wonder to any tea gathering.",Culinary Arts,CLASS_1919 The Great British Biscuit Bonanza: Enchanted Edible
CLASS_1962,2026-03-30 13:12:22.839000+00:00,"['Laughter Yoga', 'Breathing Techniques', 'Mindfulness', 'Stress Relief', 'Wellness']",Windsor,"['Laughter Yoga Mat', 'Giggle Journal', 'Breathing Ball', 'Joyful Jester Hat', 'Bottle of Bubbly (non-alcoholic)']",Professor Chuckleberry,"['Discover the benefits of laughter for mental health and wellness', 'Learn and practice various laughter yoga exercises', 'Improve breathing techniques to enhance relaxation', 'Understand the science of joy and its impact on overall wellbeing', 'Build a toolkit of daily practices to incorporate joy into life']",Giggles & Garlands: The Art of Laughter Yoga,75.0,"Join us at the School of Dandori for an enchanting session of Giggles & Garlands: The Art of Laughter Yoga, led by the illustrious Professor Chuckleberry in the delightful domain of Windsor. This class is a joyous escape into a world where laughter is the best medicine! Designed for adults seeking a unique and uplifting experience, participants will delve into the art and science of laughter yoga—an exceptional method of combining laughter exercises with yogic breathing. Throughout the session, students will engage in various playful exercises that promise to tickle their funny bones, all while learning breathing techniques to enhance relaxation and wellbeing. By the end of the class, participants will have explored the profound impact of joy on mental health and constructed a personal toolkit of practices to seamlessly incorporate more delight into their daily lives. Professor Chuckleberry, revered for his ability to inspire smiles, will guide students through interactive activities designed to release stress and cultivate happiness. Students will leave with their very own Laughter Yoga Mat, a Giggle Journal to capture moments of joy, as well as a Joyful Jester Hat to remind them that laughter is always in vogue. A bottle of non-alcoholic bubbly will be provided to toast the newfound wisdom of wellness. Come prepared to laugh till you cry and learn skills that nourish the soul.",Wellness,CLASS_1962 Giggles & Garlands: The Art of Laughter Yoga
CLASS_1977,2026-03-30 13:11:53.683000+00:00,"['Laughter Yoga', 'Stress Relief', 'Mindfulness', 'Community Building', 'Nature Connection']",Scottish Highlands,"['Yoga mats', 'Giggle-enhancing goggles', 'Highland-inspired playlist', 'Joy journal', 'Complimentary herbal tea']",Lachlan McGiggles,"['Understand the basics of laughter yoga and its benefits', 'Practice yoga poses designed to induce giggles', 'Learn techniques for integrating joy into daily routines', 'Explore the natural beauty of the Highlands through playful movement', 'Experience group dynamics that foster community and connection']",Giggling Yoga with Highland Yeti,75.0,"Join Lachlan McGiggles for a rollicking adventure into the whimsical world of laughter yoga, set against the stunning backdrop of the Scottish Highlands. This class combines traditional yoga poses with the art of giggling, as students learn to laugh their way to wellness. Begin with gentle stretches and breathing exercises designed to prepare the body for a surge of joy. Lachlan will guide you through poses like ""Ticklish Tree"" and ""Rolling Rock"" to unleash bouts of laughter, releasing tension and boosting mood. Between poses, explore how to incorporate spontaneous joy into everyday life, using techniques like the 'Giggle Pause' and 'Joyful Mindfulness'. As you giggle through the class, soak in the Highland scenery and discover ways to connect playfully with nature. Enjoy the camaraderie of fellow joy-seekers, as laughter becomes a tool for building a supportive community. At the end of the session, reflect on your experience in your Joy Journal, while savoring a cup of complimentary herbal tea. Whether you're looking to lighten your spirit or find a playful side of wellness, Giggling Yoga promises an unforgettable journey towards happiness and health.",Wellness,CLASS_1977 Giggling Yoga with Highland Yeti
CLASS_1993,2026-03-30 13:12:00.623000+00:00,"['Music', 'Nature', 'Creativity', 'Mindfulness', 'Ecology']",Cotswolds,"['A variety of leaves collected from local trees', 'Handcrafted wooden leaf stands', 'Weatherproof notebooks', 'Wind-resistant gloves', 'Portable audio recorders']",Maestro Breezy Whistlebottom,"['Create musical compositions using natural elements.', 'Understand the basic principles of wind and sound.', 'Develop appreciation for seasonal changes in nature.', 'Foster creativity through unconventional mediums.', 'Enhance listening skills and acoustic awareness.']",Autumnal Wind Symphony: Leaf Composition,75.0,"Join Maestro Breezy Whistlebottom in the picturesque Cotswolds for an enchanting journey into the world of natural soundscapes with our 'Autumnal Wind Symphony: Leaf Composition Workshop.' This one-of-a-kind class invites you to step outside the traditional confines of music and embrace the whimsicality of nature as your orchestra. Participants will embark on a magical foray into the autumn woods, gathering leaves of various shapes, sizes, and textures. These leaves will serve as the primary 'instruments' in your compositions. Using handcrafted wooden stands, students will position their leaves in an outdoor setting, experimenting with how different wind strengths create unique sounds. Maestro Whistlebottom, with his extensive expertise in natural acoustics, will guide you through the process of composing a symphony using the ambient breeze. You'll learn the art of listening deeply to the environment, understanding how different leaf types produce distinct tones and harmonies. This class also covers the basics of wind patterns, helping you predict and harness the ideal gusts for your compositions. As you craft your wind-born melodies, you'll develop a profound appreciation for the seasonal changes that transform our landscapes. By the end of the day, you'll not only have created your own leaf symphony but also cultivated a new sense of creativity and mindfulness, leaving with a recording of your composition to enjoy the soothing sounds of nature whenever you wish.",Seasonal Activities,CLASS_1993 Autumnal Wind Symphony: Leaf Composition
CLASS_2028,2026-03-30 13:12:13.684000+00:00,"['Watercolour Painting', 'Urban Art', 'Mindfulness', 'Weather Photography', 'Texture Exploration']",Glasgow,"['Watercolour paint sets', 'High-quality paint brushes', 'Watercolour paper', 'Portable easels', 'Raincoats and wellies']",Mistress Monet McSplash,"['Develop watercolour painting techniques with a focus on fluidity and texture', 'Learn to capture the ephemeral beauty of puddles in various weather conditions', 'Understand the interplay of light reflections on water surfaces', 'Gain confidence in plein air painting skills in urban environments', 'Cultivate mindfulness and appreciation of natural beauty in everyday surroundings']",Whimsical Watercolour Wonders: The Art of Painting,85.0,"Welcome to 'Whimsical Watercolour Wonders,' where you'll uncover the hidden artistry of the humble puddle. Guided by Mistress Monet McSplash, an eccentric connoisseur of liquid landscapes, this class will take you on a creative journey through the rainy streets of Glasgow. As you don your raincoat and wellies, you will venture outside to seek out the most intriguing puddles formed by recent showers. With portable easels and delicate watercolour brushes in hand, you'll learn to capture the transient beauty of reflections, ripples, and the interplay of light dancing on water surfaces. Mistress Monet McSplash will share her secrets on mastering fluidity and texture, turning unassuming puddles into captivating works of art. You'll explore techniques to highlight the ephemeral nature of these temporary water bodies, allowing you to appreciate and immortalize their fleeting charm. This class encourages mindfulness and enhances your ability to find joy in everyday moments, fostering an appreciation for nature's subtle artistry within urban settings. By the end of this whimsical workshop, you'll have developed newfound skills in plein air painting and a collection of puddle masterpieces that reveal the unexpected beauty lurking in Glasgow's streets.",Creative Arts,CLASS_2028 Whimsical Watercolour Wonders: The Art of Painting
CLASS_2045,2026-03-30 13:12:19.927000+00:00,"['Sheep Shearing', 'Public Speaking', 'Theater Arts', 'Wool Processing', 'Coordination']",Lake District,"['Sheep shearing shears', 'Selected wool samples', 'Shakespeare playbook', 'Protective aprons', 'Stage props for dramatics']",Woolly Bill,"['Master the foundational techniques of sheep shearing', 'Learn to recite select Shakespearean soliloquies', 'Understand the basics of wool processing', 'Develop a rhythmic coordination between activities', 'Gain confidence in public speaking through dramatics']",Shakespearean Sheep Shearing,75.0,"Join us in the scenic Lake District for ""Shakespearean Sheep Shearing,"" a whimsical yet educational class where the rustic charm of traditional skills meets the dramatic flair of the Bard himself. Led by the enigmatic Woolly Bill, students will step into the green pastures and learn the noble art of sheep shearing, all while reciting lines from Shakespeare's most famous plays. This class begins with a gentle introduction to the sheep and the shearing tools. Under Woolly Bill's jovial guidance, students will practice shearing techniques on willing woolly participants, exploring the delicate balance of precision and care required to gather wool without troubling our ovine friends. As students master the art of the shear, Woolly Bill will introduce Shakespearean soliloquies, transforming the field into a pastoral stage where the rhythmic act of shearing complements the cadence of classical verse. Participants will engage in group recitations, learning to project their voices and hone their theatrical presence, while simultaneously processing the wool they collect. By the day's end, students will not only have a newfound appreciation for the pastoral life and the works of Shakespeare, but also a tangible connection to both through the art of wool processing. It's an experience that promises laughter, learning, and a touch of theatrical magic.",Traditional Skills,CLASS_2045 Shakespearean Sheep Shearing
CLASS_2114,2026-03-30 13:12:16.695000+00:00,"['Botanical Artistry', 'Sustainable Crafting', 'Ecological Education', 'Design Principles', 'Nature Appreciation']",Edinburgh,"['Assorted moss varieties', 'Decorative stones and pebbles', 'Eco-friendly adhesive', 'Reclaimed wooden frames', 'Sketching pencils and paper']",Professor Lichenbottom,"['Identify and harvest different species of moss suited for art projects', 'Understand the ecological benefits of moss and its role in the ecosystem', 'Create a personalized mosaic using moss as a primary material', 'Maintain and care for moss art to ensure longevity', 'Incorporate natural elements and design principles into artistic creations']",Magical Moss Mosaics,85.0,"Step into the enchanting world of 'Magical Moss Mosaics' with the esteemed Professor Lichenbottom, where the serene beauty of nature meets creative expression. Hosted in the verdant heart of Edinburgh, this class is a delightfully whimsical foray into the art of crafting with moss. Students will embark on a botanical journey to learn about various moss species, understanding their unique textures and hues, and developing the skills to harvest them sustainably. Under Professor Lichenbottom's expert guidance, participants will create their own moss mosaics, transforming simple materials into vibrant, living artwork. The class will begin with a foraging session in a nearby woodland, where students will collect moss samples while learning about their ecological significance. Back in the cozy art studio, they will sketch their designs, incorporating elements of natural symmetry and balance. With the aid of eco-friendly adhesives and a selection of natural embellishments like pebbles and driftwood, participants will bring their mossy masterpieces to life, constructing intricately textured artworks that are as sustainable as they are beautiful. Throughout the session, students will also discover best practices for maintaining their creations, ensuring that their moss mosaics remain lush and lively. Perfect for nature enthusiasts and craft lovers alike, this class promises a uniquely enriching experience that combines artistic flair with environmental mindfulness.",Nature Crafts,CLASS_2114 Magical Moss Mosaics
CLASS_2158,2026-03-30 13:12:15.688000+00:00,"['Meteorology', 'Creative Writing', 'Artistic Expression', 'Outdoor Recreation', 'Team Collaboration']",Chester,"['Sky-gazing blankets', 'Cloud journals and sketching materials', 'Portable sun reflectors', 'Wind measurement kit', ""Set of 'Fog-in-a-jar' kits""]",Professor Nimbus Skytamer,"['Identify and classify various cloud types', 'Use natural elements to simulate cloud formation', 'Master the technique of cloud shading with sunlight', 'Develop a creative narrative around cloud shapes', 'Understand the science behind weather patterns']",The Art of Cloud Sculpting: Shaping the Skies,85.0,"Welcome to 'The Art of Cloud Sculpting: Shaping the Skies,' where you'll join Professor Nimbus Skytamer in the delightful and airy world of clouds. Set in the picturesque surroundings of Chester, this whimsical class invites you to leave the ground behind and let your imagination soar. During this enchanting outdoor experience, students will gather under the vast, open sky, embarking on a journey to master the art of cloud sculpting. Your adventure begins with learning to identify and classify different cloud formations, from the dreamy cirrus to the playful cumulus. Equipped with sky-gazing blankets and cloud journals, you'll sketch and document your observations while learning the science behind these fluffy masterpieces. Next, you'll delve into creative techniques for simulating cloud formation using natural elements. With portable sun reflectors, you’ll explore how light and shadow play across clouds, mastering the art of cloud shading to bring your ethereal creations to life. To add a sprinkle of whimsy, you'll engage in 'Fog-in-a-jar' activities, crafting mini-clouds to understand the fundamentals of weather patterns. Finally, unleash your creativity by weaving imaginative stories inspired by the shapes you see in the sky. Join us for a class that blends art, science, and storytelling, offering a unique perspective on the world above us. Reconnect with the sky, and let the clouds be your canvas!",Outdoor Skills,CLASS_2158 The Art of Cloud Sculpting: Shaping the Skies
CLASS_2190,2026-03-30 13:12:20.694000+00:00,"['Outdoor Skills', 'Physics', 'Coordination', 'Mindfulness', 'Playfulness']",York,"['Waterproof boots', 'Stylish raincoat', 'Splash measuring kit', 'Field notebook for puddle journaling', 'Umbrella with a quirky design']",Professor Rainwater,"['Master the technique of puddle jumping for maximum splash and minimal soak.', 'Identify different types of puddles and their unique splashing properties.', 'Understand the physics of water displacement and splash optics.', 'Gain confidence and improve balance and coordination through playful movement.', 'Cultivate a sense of joy and childlike wonder in everyday rainy weather.']",The Art of Puddle Jumping & Splashology,75.0,"Welcome to 'The Art of Puddle Jumping & Splashology,' where adults rediscover the simple joy of jumping into puddles. Led by Professor Rainwater, a seasoned expert in aquatic antics, this class takes place in York's scenic parks and streets, where puddles abound. Participants will first learn to identify different puddles, from shallow splats to the elusive deep splashers. With practical demonstrations, Professor Rainwater will guide you through proper techniques for achieving the perfect splash, emphasizing posture and jump height while considering the type of puddle. The class includes engaging discussions on the physics of water displacement and the reflective beauty of splash patterns, offering a unique blend of science and art. The provided splash measuring kit will allow you to experiment and document your progress in a field notebook, cultivating both scientific curiosity and artistic expression. This playful experience is designed to enhance balance and coordination, but most importantly, it will rekindle your sense of wonder and encourage you to embrace joyful spontaneity, even on the rainiest of days. Join us for a day of laughter, learning, and leaping into the little joys of life!",Outdoor Skills,CLASS_2190 The Art of Puddle Jumping & Splashology
CLASS_2223,2026-03-30 13:12:05.767000+00:00,"['Heritage Crafts', 'Artistic Techniques', 'Folklore', 'Storytelling', 'Creative Expression']",Devon,"['Egg marbling kits with eco-friendly dyes', 'Storybook of British dragon folklore', 'Protective aprons', 'Handcrafted wooden egg stands', 'Dragon scale texture templates']",Professor Drakesworth,"['Learn the art of traditional egg marbling techniques.', 'Understand the history and mythology of dragons in British folklore.', 'Create unique marbled dragon eggs using eco-friendly dyes.', 'Cultivate storytelling skills by crafting a dragon tale.', 'Explore the cultural significance of dragons across different regions.']",Dragon Egg Marbling & Mythical Tales,85.0,"Join us in the magical realm of Devon for a whimsical journey into the world of 'Dragon Egg Marbling & Mythical Tales'. Under the expert guidance of Professor Drakesworth, a renowned dragon enthusiast and marbler, you will delve into the enchanting art of egg marbling—a heritage craft cherished for its magical transformation of simple eggs into wondrous, swirling works of art. The day begins with a dive into the rich history and captivating myths surrounding dragons in British folklore. With a storybook in hand, you will uncover tales of these majestic creatures and their place in our cultural tapestry. Next, roll up your sleeves and get hands-on with traditional marbling techniques, using eco-friendly dyes to create your very own 'dragon eggs'. With Professor Drakesworth's guidance, you’ll learn to craft intricate, mesmerizing patterns that capture the spirit of the mythical beasts. As you await the drying of your creations, you'll be invited to weave your own dragon tale. Drawing inspiration from the folklore you've explored, you'll practice storytelling in a supportive and imaginative setting. This class offers not only the joy of creating art but also the thrill of sharing stories, ensuring you leave with a treasure trove of new skills and a deeper appreciation for the myths that shape our heritage.",Heritage Crafts,CLASS_2223 Dragon Egg Marbling & Mythical Tales
CLASS_2369,2026-03-30 13:12:19.680000+00:00,"['Botany', 'Craftsmanship', 'Ecological Understanding', 'Mindfulness', 'Artistic Expression']",Peak District,"['Handcrafted glass terrarium', 'Selection of local moss species', 'Miniature tools for moss sculpting', 'Organic plant-safe dyes', 'Illustrated moss guidebook']",Fern Greenleaf,"['Identify and differentiate between various types of moss common to the Peak District.', 'Cultivate and care for moss in artistic terrariums.', 'Design and create whimsical moss sculptures for home decoration.', 'Understand the ecological role of moss in local ecosystems.', 'Incorporate moss into daily mindfulness and relaxation practices.']",Mystical Moss Mastery,45.0,"Step into the enchanting world of 'Mystical Moss Mastery,' a delightful class designed to reconnect you with nature and tickle your creative bones. Held amidst the lush landscapes of the Peak District, this course is led by the ever-charming Fern Greenleaf, a renowned moss artisanal expert and lover of all things verdant. Throughout this whimsical workshop, you will embark on a journey of discovery with the humble yet extraordinary moss. Participants will begin by exploring the local terrain to identify and collect various moss species, guided by Fern's expert tips on ecological conservation and the ethical gathering of natural materials. Back at the crafting tent, equipped with artisan glass terrariums, you will learn the art of moss cultivation. Dive into the world of moss design as you sculpt your own miniature fairy landscapes or create serene, Zen-inspired decorations for your living space. Fern will also introduce you to the calming benefits of moss appreciation, sharing techniques on how to incorporate moss into daily mindfulness practices, perfect for a quick, peaceful retreat from the hustle and bustle of life. 'Mystical Moss Mastery' promises to leave you not only with new creative skills and a unique homemade creation, but with a rejuvenated spirit and a deeper appreciation for nature’s green wonders.",Nature Crafts,CLASS_2369 Mystical Moss Mastery
CLASS_2463,2026-03-30 13:12:10.722000+00:00,"['Traditional Skills', 'Crafting', 'Teamwork', 'Culinary Arts', 'Cultural History']",Suffolk,"['Assorted cheeses', 'Cheese rolling mats', 'Crafting tools', 'Decorative cheese accessories kit', 'Instructional booklet on cheese rolling techniques']",Cheddar Chalmer,"['Master the art of rolling cheese with precision and flair', 'Learn the history and cultural significance of cheese rolling', 'Craft decorative cheese accessories such as hats and belts', 'Understand the basics of cheese aging and flavor profiles', 'Develop teamwork skills through group cheese crafting challenges']",Cheese Rolling & Cheese Crafting,75.0,"Welcome to the delightful world of ""Cheese Rolling & Cheese Crafting,"" a class where adults can indulge their playful spirits while learning practical and whimsical skills. Under the expert guidance of Cheddar Chalmer, students will first explore the storied tradition of cheese rolling, a sport beloved in various parts of the UK. Participants will learn how to roll cheese with precision, gaining understanding of the techniques that make for a successful roll. Following the cheese rolling introduction, students will delve into the art of cheese crafting. This engaging segment will involve creating delightful cheese accessories—such as hats, belts, and necklaces—which will be worn during an informal cheese rolling race. The class will not only provide insight into the aging process and flavor profiles of assorted cheeses but will also foster teamwork and creativity through group crafting challenges. Participants will leave with a deeper appreciation for this quirky tradition, their own handcrafted cheese accessories, and newfound cheese rolling skills. If you're looking to sprinkle some joy and whimsy into your life while gaining unique traditional skills, this class is the perfect pick. Join us in Suffolk for a session of laughter, learning, and delightful cheese adventures.",Traditional Skills,CLASS_2463 Cheese Rolling & Cheese Crafting
